JumlahPinjaman,JangkaWaktuPinjaman,Credit_History,Total_Income,Rasio_Pinjaman_Pendapatan,JenisKelamin_Male,StatusPernikahan_Yes,Wiraswasta_Yes,WilayahTempatTinggal_Semiurban,WilayahTempatTinggal_Urban,JumTanggungan_1.0,JumTanggungan_2.0,JumTanggungan_3.0,Pendidikan_Not Graduate,StatusPinjaman
0.8673267326732673,0.7435897435897436,1.0,0.09604313833932476,0.28157226917379696,True,True,False,True,False,False,False,False,False,Y
0.4792079207920792,0.7435897435897436,1.0,0.03604917167349606,0.3446805702904585,True,True,False,True,False,False,False,False,False,Y
0.5900990099009901,0.7435897435897436,1.0,0.05243972950551799,0.31950886419687086,True,True,False,False,False,False,True,False,False,Y
0.24554455445544557,0.7435897435897436,1.0,0.01832625254531285,0.2738519823672797,False,False,False,False,False,False,False,False,False,Y
0.2415841584158416,0.7435897435897436,1.0,0.016038613338696293,0.2897079818711734,True,False,False,True,False,False,False,False,False,Y
0.38811881188118813,0.7435897435897436,1.0,0.03232861560119661,0.30096231293164144,True,True,False,False,False,True,False,False,False,Y
0.43960396039603955,0.7435897435897436,1.0,0.028595490082706954,0.371139240234558,True,True,False,True,False,False,True,False,False,Y
0.22574257425742575,0.7435897435897436,1.0,0.01958319716433294,0.24289054074969849,True,True,True,False,True,False,False,False,False,Y
0.6495049504950495,0.7435897435897436,1.0,0.0350938937630408,0.47808203961262574,True,True,False,False,False,False,False,True,True,N
0.4,0.7435897435897436,1.0,0.03242917117071822,0.30960287622911864,True,True,True,False,True,True,False,False,False,N
0.24950495049504953,0.7435897435897436,0.0,0.04472208954473465,0.14811412779810285,True,True,False,True,False,False,True,False,False,N
0.5702970297029702,0.7435897435897436,1.0,0.04727368712134543,0.33524905599588206,True,True,False,False,False,False,False,False,False,Y
0.3366336633663366,1.0000000000000002,1.0,0.017383544081047787,0.38348806066159047,True,True,False,True,False,False,False,True,True,Y
0.5442065828204442,0.7435897435897436,1.0,0.04712285376706302,0.32027051089841085,True,True,False,False,False,False,True,False,True,Y
